Store,Climate,VSG,Category,Space,Sales,Units,Profit,Exit_Flag,Future_Space,Entry_Space,BOH $,BOH Units,CC Count w/ BOH,Profit %,Receipts  $,Receipts Units
102,COLD,LG,OSHKOSH,0.5,15889.73,1485,4472.47,0,9.5,3,9042,310,105,0.281469226,61848,2312
102,COLD,LG,OUTERWEAR,0,8924.55,262,4332.4,0,9.5,3,90,2,25,0.485447446,39810,476
102,COLD,LG,SONOMA,0,29005.03,3454,13878.316,0,9.5,3,13860,693,184,0.478479629,101268,4771
102,COLD,LG,SONOMA DENIM,1,11914.44,1036,4100.328,0,9.5,3,5824,224,24,0.344147774,28756,1106
102,COLD,LG,SWIMWEAR,0,4066.1,401,1732.15,0,9.5,3,0,0,29,0.425997885,12986,507
1020,HOT,SM,ADIDAS,1,0,0,0,0,8,2,0,0,0,0,0,0
1020,HOT,SM,CARTERS,0,7410.16,954,1784.56,0,8,2,2136,99,99,0.240826109,23982,1150
1020,HOT,SM,CHAPS,0,283.48,22,80.35,0,8,2,1438,52,7,0.283441513,0,0
1020,HOT,SM,HURLEY - HAWK,0.5,22658.94,1574,10232.876,0,8,2,11348,371,139,0.451604356,59356,2161
1020,HOT,SM,JUMPING BEANS,0,28132.35,4515,14195.374,0,8,2,10992,603,284,0.504592542,83868,4912
1020,HOT,SM,JUMPING BEANS ACTIVE,1,3957.2,445,2078.366,0,8,2,4426,176,91,0.52521126,14402,686
1020,HOT,SM,LEE DENIM,1,3098.34,221,1285.36,0,8,2,0,0,7,0.414854406,7728,244
1020,HOT,SM,LEVI DENIM,1,12265.18,548,5827.64,0,8,2,9536,226,34,0.475136932,21006,537
1020,HOT,SM,LICENSED CHARACTER - JBD,0,14351.66,1622,6576.795,0,8,2,13714,539,313,0.458260229,41198,2122
1020,HOT,SM,NIKE,3,15747.26,775,9124.42,0,8,2,9000,291,163,0.579429056,37050,1356
1020,HOT,SM,OSHKOSH,0.5,-20.67,-2,10.78,0,8,2,34,1,10,-0.521528786,0,0
1020,HOT,SM,OUTERWEAR,0,4058.55,158,1954.04,0,8,2,720,12,13,0.481462591,10694,154
1020,HOT,SM,SONOMA,0,16907.48,1989,8315.135,0,8,2,4864,242,175,0.491802149,49504,2351
1020,HOT,SM,SONOMA DENIM,0,7202.12,619,2598.75,0,8,2,3068,118,24,0.360831255,16146,621
1020,HOT,SM,SWIMWEAR,0,1277.76,127,537.71,0,8,2,24,1,24,0.420822377,3672,144
1021,COLD,LO,ADIDAS,1,4709.7,267,2218.25,0,8.5,2,4600,147,81,0.470996029,15456,548
1021,COLD,LO,CARTERS,1,7743.41,913,2393.41,0,8.5,2,2634,127,130,0.309089923,25612,1235
1021,COLD,LO,CHAPS,0,3279.16,239,872.52,0,8.5,2,4106.5,133,78,0.266080338,12736,406
1021,COLD,LO,HURLEY - HAWK,0.5,1991.53,136,943.68,0,8.5,2,0,0,58,0.473846741,10140,348
1021,COLD,LO,JUMPING BEANS,0,23281.51,3678,11631.623,0,8.5,2,13520,750,269,0.499607757,95708,5519
1021,COLD,LO,JUMPING BEANS ACTIVE,0.5,4739.41,502,2503.916,0,8.5,2,4684,188,115,0.528318082,13464,609
1021,COLD,LO,LEE DENIM,1,5065.19,326,1699.19,0,8.5,2,4116,147,18,0.335464218,10396,356
1021,COLD,LO,LEVI DENIM,1,4996.44,240,2357.49,0,8.5,2,3744,96,22,0.471833946,10268.8,277
1021,COLD,LO,LICENSED CHARACTER - JBD,1,14736.88,1500,7016.823,0,8.5,2,20704,848,357,0.476140336,50863,2565
1021,COLD,LO,NIKE,1,11984.69,625,6939.04,0,8.5,2,6452,211,160,0.578992031,31548,1085
1021,COLD,LO,OSHKOSH,0.5,4760.51,437,1380.06,0,8.5,2,5300,184,102,0.289897511,21920,851
1021,COLD,LO,OUTERWEAR,0,3851.34,119,1954.35,0,8.5,2,540,6,18,0.507446759,16720,198
1021,COLD,LO,SONOMA,0,11811.43,1367,5636.337,0,8.5,2,7180,359,172,0.477193447,47618,2248
1021,COLD,LO,SONOMA DENIM,1,6988.85,581,2638.096,0,8.5,2,4498,173,22,0.377472116,15028,578
1021,COLD,LO,SWIMWEAR,0,1933.38,196,770.68,0,8.5,2,0,0,25,0.398617964,7536,295
1022,COLD,SM,ADIDAS,1,5119.69,318,2234.09,0,7.5,2,3720,117,72,0.436372124,13710,486
1022,COLD,SM,CARTERS,1,4865.09,612,1261.59,0,7.5,2,2134,99,105,0.259314833,16598,796
1022,COLD,SM,CHAPS,0,4370.45,319,987.94,0,7.5,2,4087,130,82,0.226049949,17586.4,543
1022,COLD,SM,HURLEY - HAWK,0.5,3148.04,230,1344.74,0,7.5,2,0,0,57,0.42716738,9972,342
1022,COLD,SM,JUMPING BEANS,0,29954.69,4879,14695.547,0,7.5,2,20800,1167,278,0.490592525,110684,6350
1022,COLD,SM,JUMPING BEANS ACTIVE,0.5,5647.99,620,2912.257,0,7.5,2,5832,234,109,0.515627152,16742,758
1022,COLD,SM,LEE DENIM,1,2638.09,182,799.6,0,7.5,2,1568,56,19,0.303098075,8128,276
1022,COLD,SM,LEVI DENIM,1,4574.36,217,2117.12,0,7.5,2,4170,107,13,0.462823215,6888,180
1022,COLD,SM,LICENSED CHARACTER - JBD,1,15488.32,1696,7197.131,0,7.5,2,15868,653,342,0.464681192,43272,2254
1022,COLD,SM,NIKE,1,15811.87,765,9425.01,0,7.5,2,7200,236,172,0.596071812,32688,1107
1022,COLD,SM,OSHKOSH,0.5,-51.71,-2,31.09,0,7.5,2,0,0,12,-0.601237672,0,0
1022,COLD,SM,OUTERWEAR,0,1882.07,60,886.57,0,7.5,2,0,0,16,0.471061119,10640,122
1022,COLD,SM,SONOMA,0,13278.99,1600,6299.149,0,7.5,2,9300,465,172,0.474369587,45804,2154
1022,COLD,SM,SONOMA DENIM,0,5034.06,421,1853.076,0,7.5,2,3692,142,24,0.368107651,13884,534
1022,COLD,SM,SWIMWEAR,0,1160.25,120,467.65,0,7.5,2,0,0,24,0.403059685,3776,149
1023,SUPER HOT,LO,ADIDAS,1,397.68,25,206.28,0,8,2,1978,82,13,0.518708509,0,0
1023,SUPER HOT,LO,CARTERS,1,8682.36,1016,2559.21,0,8,2,3518,165,114,0.29475972,24638,1176
1023,SUPER HOT,LO,CHAPS,0,16477.87,1239,4467.87,0,8,2,3270,116,112,0.271143661,76340.7,2599
1023,SUPER HOT,LO,HURLEY - HAWK,0.25,4118.86,262,2185.294,0,8,2,6390,208,109,0.53055797,18788,648
1023,SUPER HOT,LO,JUMPING BEANS,0,16144.36,2535,8379.558,0,8,2,9392,532,289,0.519039343,61324,3631
1023,SUPER HOT,LO,JUMPING BEANS ACTIVE,0.5,2481.05,297,1320.128,0,8,2,5482,239,91,0.5320844,9194,449
1023,SUPER HOT,LO,LEE DENIM,1,1048.39,70,418.14,0,8,2,1916,62,15,0.398840126,7580,259
1023,SUPER HOT,LO,LEVI DENIM,1,6429.2,287,3234.39,0,8,2,5990,158,25,0.503078143,12540.8,336
1023,SUPER HOT,LO,LICENSED CHARACTER - JBD,0,9734.25,1024,4662.439,0,8,2,22188,949,369,0.478972597,29616,1535
1023,SUPER HOT,LO,NIKE,2,14583.56,736,8715.99,0,8,2,3618,151,152,0.597658596,37332,1382
1023,SUPER HOT,LO,OSHKOSH,0.25,6577.99,606,1894.96,0,8,2,3862,139,94,0.288075841,24250,919
1023,SUPER HOT,LO,OUTERWEAR,0,1275.22,61,597.71,0,8,2,0,0,14,0.468711281,4752,81
1023,SUPER HOT,LO,SONOMA,0,8479.65,949,4403.088,0,8,2,2580,129,164,0.519253507,34784,1664
1023,SUPER HOT,LO,SONOMA DENIM,1,5798.46,444,2490.264,0,8,2,6266,241,25,0.429469894,12610,485
1023,SUPER HOT,LO,SWIMWEAR,0,1817.55,177,768.01,0,8,2,0,0,24,0.422552337,6746,264
1024,COLD,SM,ADIDAS,1,4595.42,286,1946.92,0,7.5,2,5522,173,78,0.423665302,15694,546
1024,COLD,SM,CARTERS,1,7092.69,868,1920.29,0,7.5,2,2918,137,102,0.27074213,20436,972
1024,COLD,SM,CHAPS,0,2290.07,161,542.07,0,7.5,2,3793,118,47,0.236704555,6983,196
1024,COLD,SM,HURLEY - HAWK,0.25,3742.85,256,1665.8,0,7.5,2,0,0,58,0.445061918,10356,360
1024,COLD,SM,JUMPING BEANS,0,30204.78,4848,15139.722,0,7.5,2,18276,1029,266,0.501235963,107320,6181
1024,COLD,SM,JUMPING BEANS ACTIVE,0.5,5206.5,577,2688.803,0,7.5,2,5266,211,106,0.51643196,14724,668
1024,COLD,SM,LEE DENIM,1,7070.98,468,2327.76,0,7.5,2,5964,213,17,0.329199064,17140,589
1024,COLD,SM,LEVI DENIM,1,6006.12,273,2905.92,0,7.5,2,4304,110,15,0.483826497,11956,310
1024,COLD,SM,LICENSED CHARACTER - JBD,1,15264.59,1620,7024.04,0,7.5,2,16846,665,317,0.460152549,44806,2266
1024,COLD,SM,NIKE,1,20859.81,1017,12339.82,0,7.5,2,8714,265,170,0.591559559,38106,1308
1024,COLD,SM,OSHKOSH,0.25,7097.45,678,1933.61,0,7.5,2,1238,42,94,0.272437284,33042,1211
1024,COLD,SM,OUTERWEAR,0,3534.24,108,1735.59,0,7.5,2,0,0,15,0.491078704,15220,176
1024,COLD,SM,SONOMA,0,13701.21,1633,6579.119,0,7.5,2,7740,387,172,0.480185254,47624,2249
1024,COLD,SM,SONOMA DENIM,0.5,8354.2,689,3182.288,0,7.5,2,3484,134,22,0.380920734,19162,737
